id,name,hazardous,a,e,i,om,w,epoch,mean_anomaly_deg,M0
2000433,433 Eros (A898 PA),False,1.45812099847468,0.222835940707163,10.8284665139979,304.270102575332,178.929753674415,2461000.5,310.554327737099,0.5597752949286
2000719,719 Albert (A911 TB),False,2.6365903919417,0.546595809202904,11.5731109833476,183.860971907134,156.189404226369,2461000.5,240.610273539006,0.230218423818765
2000887,887 Alinda (A918 AA),False,2.47362877743092,0.571169979458007,9.40005983299632,110.405875799105,350.534501054301,2461000.5,81.5405934532963,0.253339137019129
2001036,1036 Ganymed (A924 UB),False,2.66496884559108,0.533213281174661,26.6807358340113,215.441190783857,132.503117045075,2461000.5,97.5938497515208,0.226550940471357
2001221,1221 Amor (1932 EA1),False,1.91983126090693,0.434632337528462,11.8688230881167,171.237187517531,26.7582253156486,2461000.5,59.8704852127902,0.370518148573038
2001566,1566 Icarus (1949 MA),False,1.07803783756732,0.827005690836954,22.8032205675089,87.9524172459409,31.4382165206871,2461000.5,153.078930142559,0.880548066019888
2001580,1580 Betulia (1950 KA),False,2.19497430843699,0.487604483792835,52.1878537842777,62.2248473510801,159.717050383283,2461000.5,80.2671849988432,0.303081837735645
2001620,1620 Geographos (1951 RA),False,1.24577692821041,0.335512197269241,13.3357927208468,337.140792224752,277.018390282419,2461000.5,212.920449021659,0.708832543941929
2001627,1627 Ivar (1929 SH),False,1.86305808541855,0.397322884758101,8.45629087786984,133.074671883644,167.839551497504,2461000.5,311.461002158857,0.387582786688192
2001685,1685 Toro (1948 OA),False,1.36783867576328,0.436048743071453,9.38184277022407,274.207749832413,127.275298717058,2461000.5,82.6816304279553,0.616100774813685
2001862,1862 Apollo (1932 HA),False,1.4709238013997,0.559917993061026,6.35139001956466,35.5416143770827,286.050903676705,2461000.5,113.884536253593,0.552482861935118
2001863,1863 Antinous (1948 EA),False,2.26011581401172,0.606266465285304,18.3786511606722,345.551216447016,269.074546177505,2461000.5,289.564484256462,0.290073485084909
2001864,1864 Daedalus (1971 FA),False,1.46083944260189,0.614445827750087,22.2168694291561,6.59698206186781,325.661812542994,2461000.5,257.570849170876,0.558213511683173
2001865,1865 Cerberus (1971 UA),False,1.07997338845605,0.466860422025718,16.1011447194695,212.88453721622,325.289460179696,2461000.5,319.674752059785,0.878181921991587
2001866,1866 Sisyphus (1972 XA),False,1.89337194205489,0.538120672362652,41.206311916904,63.4466849415718,293.098633903072,2461000.5,140.664240966751,0.378312044533256
2001915,1915 Quetzalcoatl (1953 EA),False,2.5448412071247,0.570224632491001,20.3992386493169,162.921648854478,347.755254864198,2461000.5,21.61644786833,0.242780074999928
2001916,1916 Boreas (1953 RA),False,2.27266645735917,0.449176165115,12.8771175432445,340.595405667618,335.854765507471,2461000.5,35.111281091975,0.287673939417557
2001917,1917 Cuyo (1968 AA),False,2.14905131804544,0.505537832953689,23.9587792612208,188.274896051348,194.552572085856,2461000.5,160.0894975932,0.312848368470848
2001943,1943 Anteros (1973 EC),False,1.43052682809719,0.25591246258731,8.70770309503453,246.293477589863,338.436618558649,2461000.5,260.374115146857,0.576049844110739
impactor2025,Impactor2025,True,1.2,0.15,25,80,45,2461000.5,0,0
